Turbine ID,Temperature_Class_One_Week_Before,Average Pressure Score
83.000000,"4. Hot  (20c and over)",15.692308
84.000000,"3. (Warm 15c- 19c)",31.769231
85.000000,"3. (Warm 15c- 19c)",31.769231
86.000000,"3. (Warm 15c- 19c)",17.769231
87.000000,"3. (Warm 15c- 19c)",29.076923
88.000000,"1. Cold (under 7c)",16.846154
89.000000,"3. (Warm 15c- 19c)",26.461538
90.000000,"1. Cold (under 7c)",14.769231
91.000000,"3. (Warm 15c- 19c)",12.461538
92.000000,"1. Cold (under 7c)",26.307692
93.000000,"4. Hot  (20c and over)",15.692308
94.000000,"4. Hot  (20c and over)",23.769231
95.000000,"1. Cold (under 7c)",34.923077
96.000000,"1. Cold (under 7c)",35.769231
97.000000,"3. (Warm 15c- 19c)",14.000000
98.000000,"4. Hot  (20c and over)",13.230769
99.000000,"1. Cold (under 7c)",17.384615
100.000000,"1. Cold (under 7c)",26.307692
101.000000,"3. (Warm 15c- 19c)",31.769231
102.000000,"3. (Warm 15c- 19c)",14.000000
103.000000,"1. Cold (under 7c)",42.692308
104.000000,"4. Hot  (20c and over)",30.846154
105.000000,"1. Cold (under 7c)",28.230769
106.000000,"1. Cold (under 7c)",17.384615
107.000000,"4. Hot  (20c and over)",13.230769
108.000000,"1. Cold (under 7c)",29.692308
109.000000,"1. Cold (under 7c)",16.846154
110.000000,"1. Cold (under 7c)",31.538462
111.000000,"1. Cold (under 7c)",34.230769
112.000000,"4. Hot  (20c and over)",13.230769
113.000000,"2. Cool ( 7c - 14c)",26.923077
114.000000,"2. Cool ( 7c - 14c)",26.923077
115.000000,"1. Cold (under 7c)",17.384615
116.000000,"4. Hot  (20c and over)",25.923077
117.000000,"2. Cool ( 7c - 14c)",28.769231
118.000000,"1. Cold (under 7c)",17.384615
119.000000,"1. Cold (under 7c)",42.692308
120.000000,"1. Cold (under 7c)",42.692308
121.000000,"2. Cool ( 7c - 14c)",26.923077
122.000000,"4. Hot  (20c and over)",13.230769
123.000000,"3. (Warm 15c- 19c)",29.076923
124.000000,"1. Cold (under 7c)",31.538462
125.000000,"1. Cold (under 7c)",37.923077
126.000000,"3. (Warm 15c- 19c)",14.000000
127.000000,"1. Cold (under 7c)",20.846154
128.000000,"2. Cool ( 7c - 14c)",24.307692
129.000000,"3. (Warm 15c- 19c)",29.076923
130.000000,"1. Cold (under 7c)",31.538462
131.000000,"1. Cold (under 7c)",31.538462
132.000000,"1. Cold (under 7c)",14.538462
133.000000,"1. Cold (under 7c)",25.076923
134.000000,"3. (Warm 15c- 19c)",34.384615
135.000000,"2. Cool ( 7c - 14c)",28.769231
136.000000,"2. Cool ( 7c - 14c)",28.769231
137.000000,"1. Cold (under 7c)",29.230769
138.000000,"4. Hot  (20c and over)",26.461538
139.000000,"4. Hot  (20c and over)",23.769231
140.000000,"2. Cool ( 7c - 14c)",22.538462
141.000000,"1. Cold (under 7c)",37.923077
142.000000,"1. Cold (under 7c)",14.769231
143.000000,"1. Cold (under 7c)",14.769231
144.000000,"1. Cold (under 7c)",42.692308
145.000000,"4. Hot  (20c and over)",14.769231
146.000000,"1. Cold (under 7c)",17.384615
147.000000,"3. (Warm 15c- 19c)",34.384615
148.000000,"2. Cool ( 7c - 14c)",28.769231
149.000000,"4. Hot  (20c and over)",25.923077
150.000000,"4. Hot  (20c and over)",13.230769
151.000000,"1. Cold (under 7c)",26.307692
152.000000,"1. Cold (under 7c)",17.384615
153.000000,"1. Cold (under 7c)",17.384615
154.000000,"1. Cold (under 7c)",34.230769
155.000000,"3. (Warm 15c- 19c)",26.461538
156.000000,"1. Cold (under 7c)",26.384615
157.000000,"1. Cold (under 7c)",25.538462
158.000000,"1. Cold (under 7c)",19.923077
159.000000,"2. Cool ( 7c - 14c)",22.538462
160.000000,"2. Cool ( 7c - 14c)",22.538462
161.000000,"1. Cold (under 7c)",29.230769
162.000000,"1. Cold (under 7c)",25.076923
163.000000,"4. Hot  (20c and over)",25.923077
164.000000,"1. Cold (under 7c)",18.538462
165.000000,"2. Cool ( 7c - 14c)",24.923077
166.000000,"3. (Warm 15c- 19c)",14.000000
167.000000,"4. Hot  (20c and over)",15.692308
168.000000,"4. Hot  (20c and over)",23.769231
169.000000,"1. Cold (under 7c)",16.846154
170.000000,"2. Cool ( 7c - 14c)",24.307692
171.000000,"4. Hot  (20c and over)",15.692308
172.000000,"2. Cool ( 7c - 14c)",25.769231
173.000000,"1. Cold (under 7c)",16.846154
174.000000,"1. Cold (under 7c)",28.230769
175.000000,"1. Cold (under 7c)",34.230769
176.000000,"1. Cold (under 7c)",26.307692
177.000000,"1. Cold (under 7c)",26.923077
178.000000,"1. Cold (under 7c)",29.230769
179.000000,"1. Cold (under 7c)",26.923077
180.000000,"3. (Warm 15c- 19c)",29.076923
181.000000,"1. Cold (under 7c)",29.230769
182.000000,"4. Hot  (20c and over)",15.692308
183.000000,"1. Cold (under 7c)",20.846154
184.000000,"3. (Warm 15c- 19c)",29.076923
185.000000,"4. Hot  (20c and over)",23.769231
186.000000,"3. (Warm 15c- 19c)",14.000000
187.000000,"2. Cool ( 7c - 14c)",24.307692
188.000000,"1. Cold (under 7c)",31.461538
189.000000,"1. Cold (under 7c)",31.461538
190.000000,"1. Cold (under 7c)",19.923077
191.000000,"1. Cold (under 7c)",19.923077
192.000000,"4. Hot  (20c and over)",15.692308
193.000000,"1. Cold (under 7c)",16.846154
194.000000,"1. Cold (under 7c)",31.461538
195.000000,"3. (Warm 15c- 19c)",31.769231
196.000000,"2. Cool ( 7c - 14c)",24.307692
197.000000,"3. (Warm 15c- 19c)",29.076923
198.000000,"1. Cold (under 7c)",16.846154
199.000000,"1. Cold (under 7c)",28.230769
200.000000,"4. Hot  (20c and over)",13.230769
201.000000,"1. Cold (under 7c)",17.384615
202.000000,"1. Cold (under 7c)",30.692308
203.000000,"1. Cold (under 7c)",31.461538
204.000000,"4. Hot  (20c and over)",23.769231
205.000000,"4. Hot  (20c and over)",26.461538
206.000000,"1. Cold (under 7c)",19.923077
207.000000,"1. Cold (under 7c)",19.923077
208.000000,"1. Cold (under 7c)",29.230769
209.000000,"1. Cold (under 7c)",26.923077
210.000000,"1. Cold (under 7c)",29.230769
211.000000,"2. Cool ( 7c - 14c)",25.769231
212.000000,"2. Cool ( 7c - 14c)",22.538462
213.000000,"1. Cold (under 7c)",26.307692
214.000000,"1. Cold (under 7c)",31.461538
215.000000,"1. Cold (under 7c)",19.923077
216.000000,"1. Cold (under 7c)",31.461538
217.000000,"3. (Warm 15c- 19c)",31.769231
218.000000,"4. Hot  (20c and over)",23.769231
219.000000,"1. Cold (under 7c)",20.846154
220.000000,"2. Cool ( 7c - 14c)",24.307692
221.000000,"1. Cold (under 7c)",28.230769
222.000000,"1. Cold (under 7c)",14.538462
223.000000,"1. Cold (under 7c)",14.538462
224.000000,"4. Hot  (20c and over)",25.923077
225.000000,"1. Cold (under 7c)",34.230769
226.000000,"1. Cold (under 7c)",19.692308
227.000000,"2. Cool ( 7c - 14c)",22.307692
228.000000,"2. Cool ( 7c - 14c)",28.769231
229.000000,"1. Cold (under 7c)",29.692308
230.000000,"1. Cold (under 7c)",26.307692
231.000000,"1. Cold (under 7c)",19.923077
232.000000,"1. Cold (under 7c)",37.923077
233.000000,"1. Cold (under 7c)",26.923077
234.000000,"3. (Warm 15c- 19c)",14.000000
235.000000,"3. (Warm 15c- 19c)",14.000000
236.000000,"1. Cold (under 7c)",31.538462
237.000000,"1. Cold (under 7c)",20.846154
238.000000,"1. Cold (under 7c)",29.230769
239.000000,"4. Hot  (20c and over)",15.692308
240.000000,"1. Cold (under 7c)",37.923077
241.000000,"1. Cold (under 7c)",31.461538
242.000000,"1. Cold (under 7c)",16.846154
243.000000,"2. Cool ( 7c - 14c)",24.307692
244.000000,"3. (Warm 15c- 19c)",17.769231
245.000000,"4. Hot  (20c and over)",15.692308
246.000000,"1. Cold (under 7c)",19.923077
247.000000,"1. Cold (under 7c)",11.846154
248.000000,"4. Hot  (20c and over)",25.923077
249.000000,"1. Cold (under 7c)",17.384615
250.000000,"1. Cold (under 7c)",34.230769
251.000000,"2. Cool ( 7c - 14c)",26.923077
252.000000,"2. Cool ( 7c - 14c)",28.769231
253.000000,"4. Hot  (20c and over)",22.076923
254.000000,"2. Cool ( 7c - 14c)",28.769231
255.000000,"2. Cool ( 7c - 14c)",22.307692
256.000000,"4. Hot  (20c and over)",13.230769
257.000000,"1. Cold (under 7c)",34.230769
258.000000,"2. Cool ( 7c - 14c)",28.769231
259.000000,"1. Cold (under 7c)",17.384615
260.000000,"1. Cold (under 7c)",29.692308
261.000000,"1. Cold (under 7c)",25.076923
262.000000,"1. Cold (under 7c)",34.230769
263.000000,"1. Cold (under 7c)",17.384615
264.000000,"1. Cold (under 7c)",17.384615
265.000000,"2. Cool ( 7c - 14c)",26.923077
266.000000,"2. Cool ( 7c - 14c)",28.769231
267.000000,"1. Cold (under 7c)",42.692308
268.000000,"2. Cool ( 7c - 14c)",28.769231
269.000000,"1. Cold (under 7c)",14.538462
270.000000,"1. Cold (under 7c)",25.076923
271.000000,"1. Cold (under 7c)",29.230769
272.000000,"1. Cold (under 7c)",16.846154
273.000000,"1. Cold (under 7c)",31.461538
274.000000,"3. (Warm 15c- 19c)",14.000000
275.000000,"4. Hot  (20c and over)",15.692308
276.000000,"3. (Warm 15c- 19c)",17.769231
277.000000,"2. Cool ( 7c - 14c)",24.307692
278.000000,"1. Cold (under 7c)",31.461538
279.000000,"3. (Warm 15c- 19c)",14.000000
280.000000,"3. (Warm 15c- 19c)",14.000000
281.000000,"1. Cold (under 7c)",26.307692
282.000000,"1. Cold (under 7c)",18.076923
283.000000,"4. Hot  (20c and over)",30.846154
284.000000,"1. Cold (under 7c)",42.692308
285.000000,"1. Cold (under 7c)",42.692308
286.000000,"1. Cold (under 7c)",28.230769
287.000000,"2. Cool ( 7c - 14c)",26.923077
288.000000,"2. Cool ( 7c - 14c)",28.769231
289.000000,"4. Hot  (20c and over)",22.076923
290.000000,"1. Cold (under 7c)",17.384615
291.000000,"4. Hot  (20c and over)",13.230769
292.000000,"2. Cool ( 7c - 14c)",26.923077
293.000000,"2. Cool ( 7c - 14c)",26.923077
294.000000,"2. Cool ( 7c - 14c)",26.923077
295.000000,"2. Cool ( 7c - 14c)",28.769231
296.000000,"3. (Warm 15c- 19c)",26.461538
297.000000,"2. Cool ( 7c - 14c)",28.769231
298.000000,"2. Cool ( 7c - 14c)",28.769231
299.000000,"4. Hot  (20c and over)",22.076923
300.000000,"1. Cold (under 7c)",17.384615
301.000000,"2. Cool ( 7c - 14c)",28.769231
302.000000,"4. Hot  (20c and over)",22.076923
303.000000,"2. Cool ( 7c - 14c)",28.769231
304.000000,"1. Cold (under 7c)",25.076923
305.000000,"1. Cold (under 7c)",25.076923
306.000000,"1. Cold (under 7c)",34.230769
307.000000,"2. Cool ( 7c - 14c)",28.769231
308.000000,"1. Cold (under 7c)",30.153846
309.000000,"1. Cold (under 7c)",31.538462
310.000000,"1. Cold (under 7c)",20.846154
311.000000,"1. Cold (under 7c)",20.846154
312.000000,"2. Cool ( 7c - 14c)",24.307692
313.000000,"4. Hot  (20c and over)",23.769231
314.000000,"4. Hot  (20c and over)",26.461538
315.000000,"1. Cold (under 7c)",31.461538
316.000000,"1. Cold (under 7c)",11.846154
317.000000,"1. Cold (under 7c)",31.538462
318.000000,"3. (Warm 15c- 19c)",29.076923
319.000000,"1. Cold (under 7c)",18.076923
320.000000,"1. Cold (under 7c)",19.923077
321.000000,"1. Cold (under 7c)",26.307692
322.000000,"1. Cold (under 7c)",29.230769
323.000000,"1. Cold (under 7c)",31.461538
324.000000,"4. Hot  (20c and over)",23.769231
325.000000,"1. Cold (under 7c)",11.846154
326.000000,"3. (Warm 15c- 19c)",31.769231
327.000000,"1. Cold (under 7c)",31.461538
328.000000,"4. Hot  (20c and over)",26.461538
329.000000,"1. Cold (under 7c)",18.076923
330.000000,"4. Hot  (20c and over)",15.692308
331.000000,"4. Hot  (20c and over)",15.692308
332.000000,"1. Cold (under 7c)",26.923077
333.000000,"1. Cold (under 7c)",26.923077
334.000000,"1. Cold (under 7c)",11.846154
335.000000,"3. (Warm 15c- 19c)",29.076923
336.000000,"1. Cold (under 7c)",20.846154
337.000000,"4. Hot  (20c and over)",26.461538
338.000000,"2. Cool ( 7c - 14c)",25.769231
339.000000,"1. Cold (under 7c)",18.076923
340.000000,"4. Hot  (20c and over)",26.461538
341.000000,"1. Cold (under 7c)",14.769231
342.000000,"1. Cold (under 7c)",28.230769
343.000000,"1. Cold (under 7c)",29.692308
344.000000,"1. Cold (under 7c)",34.923077
345.000000,"2. Cool ( 7c - 14c)",26.923077
346.000000,"2. Cool ( 7c - 14c)",26.923077
347.000000,"4. Hot  (20c and over)",22.076923
348.000000,"2. Cool ( 7c - 14c)",28.769231
349.000000,"1. Cold (under 7c)",17.384615
350.000000,"4. Hot  (20c and over)",22.076923
351.000000,"2. Cool ( 7c - 14c)",28.769231
352.000000,"4. Hot  (20c and over)",22.076923
353.000000,"1. Cold (under 7c)",14.538462
354.000000,"1. Cold (under 7c)",25.076923
355.000000,"2. Cool ( 7c - 14c)",25.769231
356.000000,"1. Cold (under 7c)",29.230769
357.000000,"1. Cold (under 7c)",19.923077
358.000000,"3. (Warm 15c- 19c)",14.000000
359.000000,"1. Cold (under 7c)",26.307692
360.000000,"1. Cold (under 7c)",31.538462
361.000000,"1. Cold (under 7c)",26.923077
362.000000,"1. Cold (under 7c)",26.923077
363.000000,"1. Cold (under 7c)",37.923077
364.000000,"2. Cool ( 7c - 14c)",24.307692
365.000000,"1. Cold (under 7c)",16.846154
366.000000,"1. Cold (under 7c)",31.461538
367.000000,"1. Cold (under 7c)",26.923077
368.000000,"4. Hot  (20c and over)",26.461538
369.000000,"4. Hot  (20c and over)",26.461538
370.000000,"4. Hot  (20c and over)",23.769231
371.000000,"4. Hot  (20c and over)",15.692308
372.000000,"3. (Warm 15c- 19c)",17.769231
373.000000,"2. Cool ( 7c - 14c)",24.307692
374.000000,"2. Cool ( 7c - 14c)",24.307692
375.000000,"4. Hot  (20c and over)",23.769231
376.000000,"1. Cold (under 7c)",31.538462
377.000000,"1. Cold (under 7c)",26.923077
378.000000,"1. Cold (under 7c)",31.461538
379.000000,"2. Cool ( 7c - 14c)",22.538462
380.000000,"2. Cool ( 7c - 14c)",22.538462
381.000000,"1. Cold (under 7c)",16.846154
382.000000,"3. (Warm 15c- 19c)",14.000000
383.000000,"1. Cold (under 7c)",26.307692
384.000000,"3. (Warm 15c- 19c)",31.769231
385.000000,"1. Cold (under 7c)",19.923077
386.000000,"4. Hot  (20c and over)",26.461538
387.000000,"4. Hot  (20c and over)",26.461538
388.000000,"3. (Warm 15c- 19c)",17.769231
389.000000,"1. Cold (under 7c)",20.846154
390.000000,"1. Cold (under 7c)",11.846154
391.000000,"1. Cold (under 7c)",29.230769
392.000000,"2. Cool ( 7c - 14c)",24.307692
393.000000,"3. (Warm 15c- 19c)",29.076923
394.000000,"3. (Warm 15c- 19c)",31.769231
395.000000,"1. Cold (under 7c)",29.692308
396.000000,"4. Hot  (20c and over)",22.076923
397.000000,"1. Cold (under 7c)",14.769231
398.000000,"4. Hot  (20c and over)",14.769231
399.000000,"4. Hot  (20c and over)",25.923077
400.000000,"4. Hot  (20c and over)",26.461538
401.000000,"3. (Warm 15c- 19c)",29.076923
402.000000,"1. Cold (under 7c)",26.923077
403.000000,"1. Cold (under 7c)",18.076923
404.000000,"1. Cold (under 7c)",11.846154
405.000000,"2. Cool ( 7c - 14c)",25.769231
406.000000,"1. Cold (under 7c)",20.846154
407.000000,"4. Hot  (20c and over)",23.769231
408.000000,"1. Cold (under 7c)",26.923077
409.000000,"3. (Warm 15c- 19c)",14.000000
410.000000,"1. Cold (under 7c)",26.307692
411.000000,"1. Cold (under 7c)",31.461538
412.000000,"1. Cold (under 7c)",31.461538
413.000000,"1. Cold (under 7c)",16.846154
414.000000,"3. (Warm 15c- 19c)",31.769231
415.000000,"1. Cold (under 7c)",26.923077
416.000000,"1. Cold (under 7c)",26.307692
417.000000,"1. Cold (under 7c)",18.076923
418.000000,"1. Cold (under 7c)",19.923077
419.000000,"1. Cold (under 7c)",26.307692
420.000000,"4. Hot  (20c and over)",26.461538
421.000000,"2. Cool ( 7c - 14c)",24.307692
422.000000,"1. Cold (under 7c)",16.846154
423.000000,"2. Cool ( 7c - 14c)",25.769231
424.000000,"1. Cold (under 7c)",26.307692
425.000000,"3. (Warm 15c- 19c)",14.000000
426.000000,"4. Hot  (20c and over)",15.692308
427.000000,"2. Cool ( 7c - 14c)",22.538462
428.000000,"3. (Warm 15c- 19c)",29.076923
429.000000,"1. Cold (under 7c)",18.076923
430.000000,"1. Cold (under 7c)",29.230769
431.000000,"2. Cool ( 7c - 14c)",24.307692
432.000000,"2. Cool ( 7c - 14c)",22.538462
433.000000,"1. Cold (under 7c)",18.076923
434.000000,"4. Hot  (20c and over)",15.692308
435.000000,"1. Cold (under 7c)",20.846154
436.000000,"2. Cool ( 7c - 14c)",24.307692
437.000000,"2. Cool ( 7c - 14c)",25.769231
438.000000,"1. Cold (under 7c)",11.846154
439.000000,"1. Cold (under 7c)",19.923077
440.000000,"1. Cold (under 7c)",31.461538
441.000000,"2. Cool ( 7c - 14c)",25.769231
442.000000,"1. Cold (under 7c)",29.230769
443.000000,"4. Hot  (20c and over)",23.769231
444.000000,"1. Cold (under 7c)",16.846154
445.000000,"1. Cold (under 7c)",18.076923
446.000000,"1. Cold (under 7c)",19.923077
447.000000,"1. Cold (under 7c)",28.230769
448.000000,"1. Cold (under 7c)",34.230769
449.000000,"1. Cold (under 7c)",31.461538
450.000000,"1. Cold (under 7c)",18.076923
451.000000,"1. Cold (under 7c)",11.846154
452.000000,"3. (Warm 15c- 19c)",29.076923
453.000000,"1. Cold (under 7c)",16.846154
454.000000,"2. Cool ( 7c - 14c)",25.769231
455.000000,"1. Cold (under 7c)",11.846154
456.000000,"4. Hot  (20c and over)",26.461538
457.000000,"2. Cool ( 7c - 14c)",25.769231
458.000000,"1. Cold (under 7c)",31.461538
459.000000,"2. Cool ( 7c - 14c)",24.307692
460.000000,"3. (Warm 15c- 19c)",17.769231
461.000000,"1. Cold (under 7c)",31.538462
462.000000,"1. Cold (under 7c)",18.076923
463.000000,"4. Hot  (20c and over)",23.769231
464.000000,"1. Cold (under 7c)",18.076923
465.000000,"1. Cold (under 7c)",18.076923
466.000000,"4. Hot  (20c and over)",15.692308
467.000000,"1. Cold (under 7c)",20.846154
468.000000,"4. Hot  (20c and over)",26.461538
469.000000,"1. Cold (under 7c)",19.923077
470.000000,"4. Hot  (20c and over)",26.461538
471.000000,"1. Cold (under 7c)",11.846154
472.000000,"1. Cold (under 7c)",31.461538
473.000000,"4. Hot  (20c and over)",23.769231
474.000000,"4. Hot  (20c and over)",15.692308
475.000000,"1. Cold (under 7c)",16.846154
476.000000,"1. Cold (under 7c)",19.923077
477.000000,"4. Hot  (20c and over)",15.692308
478.000000,"1. Cold (under 7c)",31.461538
479.000000,"1. Cold (under 7c)",18.076923
480.000000,"3. (Warm 15c- 19c)",17.769231
481.000000,"3. (Warm 15c- 19c)",26.461538
482.000000,"1. Cold (under 7c)",17.384615
483.000000,"4. Hot  (20c and over)",25.923077
484.000000,"3. (Warm 15c- 19c)",26.461538
485.000000,"3. (Warm 15c- 19c)",26.461538
486.000000,"1. Cold (under 7c)",42.692308
487.000000,"1. Cold (under 7c)",11.846154
488.000000,"1. Cold (under 7c)",19.923077
489.000000,"1. Cold (under 7c)",26.923077
490.000000,"3. (Warm 15c- 19c)",14.000000
491.000000,"2. Cool ( 7c - 14c)",22.538462
492.000000,"1. Cold (under 7c)",29.230769
493.000000,"2. Cool ( 7c - 14c)",24.307692
494.000000,"1. Cold (under 7c)",31.538462
495.000000,"3. (Warm 15c- 19c)",31.769231
496.000000,"1. Cold (under 7c)",11.846154
497.000000,"1. Cold (under 7c)",37.923077
498.000000,"1. Cold (under 7c)",31.538462
499.000000,"1. Cold (under 7c)",11.846154
500.000000,"4. Hot  (20c and over)",15.692308
501.000000,"1. Cold (under 7c)",16.846154
502.000000,"1. Cold (under 7c)",19.923077
503.000000,"2. Cool ( 7c - 14c)",24.307692
504.000000,"2. Cool ( 7c - 14c)",24.307692
505.000000,"1. Cold (under 7c)",26.307692
506.000000,"1. Cold (under 7c)",37.923077
507.000000,"1. Cold (under 7c)",37.923077
508.000000,"3. (Warm 15c- 19c)",31.769231
509.000000,"1. Cold (under 7c)",11.846154
510.000000,"1. Cold (under 7c)",31.461538
511.000000,"1. Cold (under 7c)",31.461538
512.000000,"2. Cool ( 7c - 14c)",25.769231
513.000000,"1. Cold (under 7c)",31.461538
514.000000,"4. Hot  (20c and over)",15.692308
515.000000,"1. Cold (under 7c)",26.923077
516.000000,"4. Hot  (20c and over)",23.769231
517.000000,"2. Cool ( 7c - 14c)",24.307692
518.000000,"2. Cool ( 7c - 14c)",25.769231
519.000000,"1. Cold (under 7c)",20.846154
520.000000,"3. (Warm 15c- 19c)",17.769231
521.000000,"3. (Warm 15c- 19c)",14.000000
522.000000,"1. Cold (under 7c)",16.846154
523.000000,"3. (Warm 15c- 19c)",29.076923
524.000000,"4. Hot  (20c and over)",26.461538
525.000000,"4. Hot  (20c and over)",23.769231
526.000000,"2. Cool ( 7c - 14c)",22.307692
527.000000,"2. Cool ( 7c - 14c)",26.923077
528.000000,"1. Cold (under 7c)",17.384615
529.000000,"1. Cold (under 7c)",30.153846
530.000000,"1. Cold (under 7c)",35.769231
531.000000,"2. Cool ( 7c - 14c)",23.000000
532.000000,"1. Cold (under 7c)",24.923077
533.000000,"1. Cold (under 7c)",18.076923
534.000000,"3. (Warm 15c- 19c)",29.076923
535.000000,"3. (Warm 15c- 19c)",14.000000
536.000000,"2. Cool ( 7c - 14c)",22.538462
537.000000,"4. Hot  (20c and over)",15.692308
538.000000,"3. (Warm 15c- 19c)",14.000000
539.000000,"2. Cool ( 7c - 14c)",25.769231
540.000000,"4. Hot  (20c and over)",26.461538
541.000000,"4. Hot  (20c and over)",15.692308
542.000000,"1. Cold (under 7c)",19.923077
543.000000,"1. Cold (under 7c)",31.461538
544.000000,"2. Cool ( 7c - 14c)",24.307692
545.000000,"1. Cold (under 7c)",18.076923
546.000000,"3. (Warm 15c- 19c)",14.000000
547.000000,"3. (Warm 15c- 19c)",14.000000
548.000000,"1. Cold (under 7c)",37.923077
549.000000,"1. Cold (under 7c)",20.846154
550.000000,"3. (Warm 15c- 19c)",31.769231
551.000000,"1. Cold (under 7c)",31.538462
552.000000,"4. Hot  (20c and over)",26.461538
553.000000,"4. Hot  (20c and over)",15.692308
554.000000,"1. Cold (under 7c)",31.538462
555.000000,"1. Cold (under 7c)",26.923077
556.000000,"2. Cool ( 7c - 14c)",22.538462
557.000000,"1. Cold (under 7c)",19.923077
558.000000,"3. (Warm 15c- 19c)",17.769231
559.000000,"1. Cold (under 7c)",19.923077
560.000000,"2. Cool ( 7c - 14c)",22.538462
561.000000,"3. (Warm 15c- 19c)",29.076923
562.000000,"1. Cold (under 7c)",37.923077
563.000000,"1. Cold (under 7c)",26.923077
564.000000,"4. Hot  (20c and over)",23.769231
565.000000,"4. Hot  (20c and over)",23.769231
566.000000,"1. Cold (under 7c)",26.923077
567.000000,"1. Cold (under 7c)",29.230769
568.000000,"2. Cool ( 7c - 14c)",25.769231
569.000000,"1. Cold (under 7c)",19.923077
570.000000,"4. Hot  (20c and over)",15.692308
571.000000,"1. Cold (under 7c)",18.076923
572.000000,"2. Cool ( 7c - 14c)",22.538462
573.000000,"3. (Warm 15c- 19c)",29.076923
574.000000,"1. Cold (under 7c)",20.846154
